year,上海交通大学,北京大学,南京大学,复旦大学,浙江大学,清华大学,西安交通大学
2016,118.03,153.11,57.02,78.8,154.28,182.17,56.37
2017,140.77,193.45,69.33,100.41,150.47,233.35,70.44
2018,144.88,125.54,81.26,108.9,154.65,269.45,80.39
2019,156.32,190.06,77.53,125.09,191.77,297.2,88.17
2020,164.9,191.08,79.29,136.21,216.2,310.72,101.16
2021,175.65,221.34,86.39,141.62,228.16,317.28,114.68
2022,204.2,219.29,93.47,171.55,261.03,,133.72
2023,265.16,222.47,97.49,178.69,309.01,410.93,146.29
2024,281.58,243.3,121.41,182.26,328.61,385.69,160.98
2025,294.48,259.14,127.18,182.95,352.31,395.18,107.25
2026,304.11,280.49,146.67,62.66,382.46,403.93,185.56
