university,document_type,year,pdf_count,fact_rows
上海交通大学,budget,2017,1,12
上海交通大学,budget,2018,1,13
上海交通大学,budget,2019,1,12
上海交通大学,budget,2020,1,12
上海交通大学,budget,2021,1,12
上海交通大学,budget,2022,1,77
上海交通大学,budget,2023,1,101
上海交通大学,budget,2024,1,22
上海交通大学,budget,2025,1,25
上海交通大学,budget,2026,1,22
中国科学技术大学,budget,2017,1,11
中国科学技术大学,budget,2018,1,11
中国科学技术大学,budget,2019,1,13
中国科学技术大学,budget,2020,1,13
中国科学技术大学,budget,2021,1,13
中国科学技术大学,budget,2022,1,16
中国科学技术大学,budget,2023,1,92
中国科学技术大学,budget,2024,1,21
中国科学技术大学,budget,2025,1,27
中国科学技术大学,budget,2026,1,15
北京大学,budget,2016,1,17
北京大学,budget,2017,1,17
北京大学,budget,2018,1,16
北京大学,budget,2019,1,57
北京大学,budget,2020,1,6
北京大学,budget,2021,2,0
北京大学,budget,2022,1,10
北京大学,budget,2023,1,8
北京大学,budget,2024,1,8
北京大学,budget,2025,1,9
北京大学,budget,2026,1,11
北京大学,final_account,2014,1,27
北京大学,final_account,2015,1,28
北京大学,final_account,2016,1,25
北京大学,final_account,2017,1,29
北京大学,final_account,2018,1,29
北京大学,final_account,2019,1,0
北京大学,final_account,2021,1,0
北京大学,final_account,2022,1,0
北京大学,final_account,2023,1,0
北京大学,final_account,2024,2,0
北京大学,final_account,2025,1,0
南京大学,budget,2013,1,6
南京大学,budget,2014,1,7
南京大学,budget,2015,1,8
南京大学,budget,2016,1,10
南京大学,budget,2017,1,10
南京大学,budget,2018,1,8
南京大学,budget,2019,1,9
南京大学,budget,2020,1,10
南京大学,budget,2021,1,16
南京大学,budget,2022,1,11
南京大学,budget,2023,1,11
南京大学,budget,2024,1,11
南京大学,budget,2025,1,11
南京大学,budget,2026,1,38
哈尔滨工业大学,budget,2021,1,14
哈尔滨工业大学,budget,2022,1,16
哈尔滨工业大学,budget,2023,1,16
哈尔滨工业大学,budget,2024,1,15
哈尔滨工业大学,budget,2025,1,16
哈尔滨工业大学,budget,2026,1,16
复旦大学,budget,2012,1,12
复旦大学,budget,2013,1,12
复旦大学,budget,2015,1,14
复旦大学,budget,2017,1,26
复旦大学,budget,2018,1,25
复旦大学,budget,2019,2,52
复旦大学,budget,2020,2,26
复旦大学,budget,2021,2,28
复旦大学,budget,2022,2,54
复旦大学,budget,2023,2,70
复旦大学,budget,2024,2,62
复旦大学,budget,2025,2,66
复旦大学,budget,2026,1,35
复旦大学,final_account,2012,4,17
复旦大学,final_account,2013,1,20
复旦大学,final_account,2014,1,18
复旦大学,final_account,2015,1,19
复旦大学,final_account,2016,1,20
复旦大学,final_account,2017,1,18
复旦大学,final_account,2018,1,18
复旦大学,final_account,2019,1,18
复旦大学,final_account,2020,1,19
复旦大学,final_account,2021,1,20
复旦大学,final_account,2022,1,21
复旦大学,final_account,2023,1,21
复旦大学,final_account,2024,1,20
浙江大学,budget,2014,1,16
浙江大学,budget,2015,1,13
浙江大学,budget,2016,1,14
浙江大学,budget,2017,1,13
浙江大学,budget,2018,1,13
浙江大学,budget,2019,1,12
浙江大学,budget,2020,1,8
浙江大学,budget,2021,1,8
浙江大学,budget,2022,1,8
浙江大学,budget,2023,1,9
浙江大学,budget,2024,1,9
浙江大学,budget,2025,1,11
浙江大学,budget,2026,2,22
浙江大学,final_account,2013,1,21
浙江大学,final_account,2014,1,20
浙江大学,final_account,2015,1,22
浙江大学,final_account,2016,2,40
清华大学,budget,2013,1,6
清华大学,budget,2014,1,19
清华大学,budget,2015,1,28
清华大学,budget,2016,1,30
清华大学,budget,2017,1,32
清华大学,budget,2018,1,27
清华大学,budget,2019,1,24
清华大学,budget,2020,1,24
清华大学,budget,2021,1,25
清华大学,budget,2022,1,177
清华大学,budget,2023,1,154
清华大学,budget,2024,1,121
清华大学,budget,2025,1,27
清华大学,budget,2026,1,28
西安交通大学,budget,2014,1,13
西安交通大学,budget,2015,1,13
西安交通大学,budget,2016,1,13
西安交通大学,budget,2017,1,13
西安交通大学,budget,2018,1,13
西安交通大学,budget,2019,1,14
西安交通大学,budget,2020,1,14
西安交通大学,budget,2022,1,185
西安交通大学,budget,2023,1,142
西安交通大学,budget,2024,1,45
西安交通大学,budget,2025,1,54
西安交通大学,budget,2026,1,25
西安交通大学,final_account,2013,1,20
西安交通大学,final_account,2014,1,20
西安交通大学,final_account,2015,1,23
西安交通大学,final_account,2016,1,21
西安交通大学,final_account,2017,1,22
西安交通大学,final_account,2018,1,22
西安交通大学,final_account,2019,1,20
西安交通大学,final_account,2020,1,22
西安交通大学,final_account,2021,1,22
西安交通大学,final_account,2022,1,23
西安交通大学,final_account,2023,1,23
西安交通大学,final_account,2024,1,22
