year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2013,,113.772518,,,43.192003,35.897426,,,
2014,,126.018104,80.193694,,,39.740154,,,41.132253
2015,,139.418413,84.571758,,49.772992,37.810848,,,48.349475
2016,118.860008,139.029918,106.655479,90.247117,,32.182172,,,40.633868
2017,142.271823,170.677972,96.390382,108.347729,71.276854,46.57752,49.079331,,52.947198
2018,123.91465,196.737629,111.350006,111.911689,77.674615,52.198997,51.522046,,58.259635
2019,133.077227,218.941932,125.568152,125.286258,89.51704,52.403977,61.973674,,61.757001
2020,129.288162,226.016819,131.274324,131.923192,93.002414,54.596385,66.449854,,66.772402
2021,,228.811898,138.304624,142.895209,91.773631,49.620502,71.317084,66.95496,
2022,160.097188,255.752462,160.131873,153.112249,97.227667,60.772071,74.418124,89.438883,84.869099
2023,150.895984,285.680893,177.523675,179.964285,99.043683,63.107268,69.273891,101.466901,87.176811
2024,162.576625,282.047694,195.161838,189.099081,106.272233,71.734853,85.86146,118.28014,95.226944
2025,172.61957,291.558966,206.594148,199.063503,122.663568,77.212677,90.665549,139.739755,107.246342
2026,184.991735,297.593714,225.611626,216.850226,144.790307,91.341573,97.287685,150.804571,113.319911
