institution_name,document_type,metric,available_year_count,available_years,missing_years_2013_2026
北京大学,budget,comparison_budget_total,10,2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2014 2015 2021
北京大学,budget,current_year_income_total,10,2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2014 2015 2021
北京大学,budget,current_year_expense_total,10,2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2014 2015 2021
北京大学,budget,carryover_from_previous_year,10,2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2014 2015 2021
北京大学,budget,carryover_to_next_year,9,2016 2017 2019 2020 2022 2023 2024 2025 2026,2013 2014 2015 2018 2021
北京大学,budget,undertaking_income,10,2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2014 2015 2021
北京大学,budget,other_income,10,2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2014 2015 2021
北京大学,budget,fiscal_appropriation_income,1,2020,2013 2014 2015 2016 2017 2018 2019 2021 2022 2023 2024 2025 2026
北京大学,budget,general_public_budget_appropriation_income,5,2016 2017 2018 2022 2026,2013 2014 2015 2019 2020 2021 2023 2024 2025
北京大学,budget,government_fund_budget_appropriation_income,2,2022 2026,2013 2014 2015 2016 2017 2018 2019 2020 2021 2023 2024 2025
清华大学,budget,comparison_budget_total,14,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,
清华大学,budget,current_year_income_total,14,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,
清华大学,budget,current_year_expense_total,14,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,
清华大学,budget,carryover_from_previous_year,13,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013
清华大学,budget,carryover_to_next_year,13,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013
清华大学,budget,undertaking_income,14,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,
清华大学,budget,other_income,14,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,
清华大学,budget,fiscal_appropriation_income,1,2014,2013 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026
清华大学,budget,general_public_budget_appropriation_income,11,2015 2016 2017 2018 2019 2021 2022 2023 2024 2025 2026,2013 2014 2020
清华大学,budget,government_fund_budget_appropriation_income,8,2018 2019 2021 2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2020
浙江大学,budget,comparison_budget_total,13,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013
浙江大学,budget,current_year_income_total,13,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013
浙江大学,budget,current_year_expense_total,13,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013
浙江大学,budget,carryover_from_previous_year,13,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013
浙江大学,budget,carryover_to_next_year,13,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013
浙江大学,budget,undertaking_income,13,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013
浙江大学,budget,other_income,13,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013
浙江大学,budget,fiscal_appropriation_income,3,2016 2017 2019,2013 2014 2015 2018 2020 2021 2022 2023 2024 2025 2026
浙江大学,budget,general_public_budget_appropriation_income,8,2015 2018 2020 2021 2022 2023 2025 2026,2013 2014 2016 2017 2019 2024
浙江大学,budget,government_fund_budget_appropriation_income,2,2025 2026,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
上海交通大学,budget,comparison_budget_total,11,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015
上海交通大学,budget,current_year_income_total,11,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015
上海交通大学,budget,current_year_expense_total,11,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015
上海交通大学,budget,carryover_from_previous_year,11,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015
上海交通大学,budget,carryover_to_next_year,11,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015
上海交通大学,budget,undertaking_income,11,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015
上海交通大学,budget,other_income,11,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015
上海交通大学,budget,fiscal_appropriation_income,0,,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026
上海交通大学,budget,general_public_budget_appropriation_income,11,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015
上海交通大学,budget,government_fund_budget_appropriation_income,2,2025 2026,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
复旦大学,budget,comparison_budget_total,12,2013 2015 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2014 2016
复旦大学,budget,current_year_income_total,12,2013 2015 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2014 2016
复旦大学,budget,current_year_expense_total,12,2013 2015 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2014 2016
复旦大学,budget,carryover_from_previous_year,11,2015 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2016
复旦大学,budget,carryover_to_next_year,11,2015 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2016
复旦大学,budget,undertaking_income,12,2013 2015 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2014 2016
复旦大学,budget,other_income,12,2013 2015 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2014 2016
复旦大学,budget,fiscal_appropriation_income,1,2013,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026
复旦大学,budget,general_public_budget_appropriation_income,7,2015 2021 2022 2023 2024 2025 2026,2013 2014 2016 2017 2018 2019 2020
复旦大学,budget,government_fund_budget_appropriation_income,5,2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2018 2019 2020 2021
南京大学,budget,comparison_budget_total,14,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,
南京大学,budget,current_year_income_total,14,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,
南京大学,budget,current_year_expense_total,14,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,
南京大学,budget,carryover_from_previous_year,13,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013
南京大学,budget,carryover_to_next_year,13,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013
南京大学,budget,undertaking_income,14,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,
南京大学,budget,other_income,14,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,
南京大学,budget,fiscal_appropriation_income,0,,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026
南京大学,budget,general_public_budget_appropriation_income,12,2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014
南京大学,budget,government_fund_budget_appropriation_income,5,2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2018 2019 2020 2021
中国科学技术大学,budget,comparison_budget_total,10,2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015 2016
中国科学技术大学,budget,current_year_income_total,10,2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015 2016
中国科学技术大学,budget,current_year_expense_total,10,2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015 2016
中国科学技术大学,budget,carryover_from_previous_year,10,2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015 2016
中国科学技术大学,budget,carryover_to_next_year,5,2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2018 2019 2020 2021
中国科学技术大学,budget,undertaking_income,10,2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015 2016
中国科学技术大学,budget,other_income,10,2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015 2016
中国科学技术大学,budget,fiscal_appropriation_income,0,,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026
中国科学技术大学,budget,general_public_budget_appropriation_income,10,2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,2013 2014 2015 2016
中国科学技术大学,budget,government_fund_budget_appropriation_income,3,2021 2022 2025,2013 2014 2015 2016 2017 2018 2019 2020 2023 2024 2026
哈尔滨工业大学,budget,comparison_budget_total,6,2021 2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2018 2019 2020
哈尔滨工业大学,budget,current_year_income_total,6,2021 2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2018 2019 2020
哈尔滨工业大学,budget,current_year_expense_total,6,2021 2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2018 2019 2020
哈尔滨工业大学,budget,carryover_from_previous_year,6,2021 2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2018 2019 2020
哈尔滨工业大学,budget,carryover_to_next_year,6,2021 2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2018 2019 2020
哈尔滨工业大学,budget,undertaking_income,6,2021 2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2018 2019 2020
哈尔滨工业大学,budget,other_income,6,2021 2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2018 2019 2020
哈尔滨工业大学,budget,fiscal_appropriation_income,1,2021,2013 2014 2015 2016 2017 2018 2019 2020 2022 2023 2024 2025 2026
哈尔滨工业大学,budget,general_public_budget_appropriation_income,5,2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2018 2019 2020 2021
哈尔滨工业大学,budget,government_fund_budget_appropriation_income,2,2025 2026,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
西安交通大学,budget,comparison_budget_total,12,2014 2015 2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2021
西安交通大学,budget,current_year_income_total,12,2014 2015 2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2021
西安交通大学,budget,current_year_expense_total,12,2014 2015 2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2021
西安交通大学,budget,carryover_from_previous_year,12,2014 2015 2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2021
西安交通大学,budget,carryover_to_next_year,12,2014 2015 2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2021
西安交通大学,budget,undertaking_income,12,2014 2015 2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2021
西安交通大学,budget,other_income,12,2014 2015 2016 2017 2018 2019 2020 2022 2023 2024 2025 2026,2013 2021
西安交通大学,budget,fiscal_appropriation_income,1,2019,2013 2014 2015 2016 2017 2018 2020 2021 2022 2023 2024 2025 2026
西安交通大学,budget,general_public_budget_appropriation_income,9,2015 2016 2017 2018 2022 2023 2024 2025 2026,2013 2014 2019 2020 2021
西安交通大学,budget,government_fund_budget_appropriation_income,5,2022 2023 2024 2025 2026,2013 2014 2015 2016 2017 2018 2019 2020 2021
