university,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
北京大学,153.11,193.45,125.54,190.06,191.08,221.34,219.29,222.47,243.3,259.14,280.49
清华大学,182.17,233.35,269.45,297.2,310.72,317.28,,410.93,385.69,395.18,403.93
中国人民大学,43.55,52.03,57.79,63.92,74.42,78.06,79.99,104.48,68.66,91.73,93.79
北京师范大学,53.67,62.19,66.12,81.85,86.35,87.85,98.97,115.69,116.06,,
中国农业大学,,49.66,55.45,56.2,53.96,60.05,63.47,67.07,83.4,100.47,102.19
南开大学,51.81,66.81,69.15,66.35,62.65,57.74,60.52,70.72,64.03,66.78,74.28
天津大学,70.31,113.49,82.88,76.53,87.57,76.01,84.55,91.95,92.25,106.23,114.59
大连理工大学,45.02,53.04,55.59,59.52,65.26,72.16,82.25,106.13,100.17,106.8,112.77
东北大学,40.54,47.76,36.88,49.89,,54.49,62.04,66.06,74.34,,
吉林大学,52.19,87.96,97.65,98.97,95.31,98.36,103.93,104.72,102.12,104.32,113.21
复旦大学,78.8,100.41,108.9,125.09,136.21,141.62,171.55,178.69,182.26,182.95,62.66
同济大学,60.07,76.65,134.21,90.46,94.95,107.04,119.51,152.04,161.31,174.98,171.63
上海交通大学,118.03,140.77,144.88,156.32,164.9,175.65,204.2,265.16,281.58,294.48,304.11
华东师范大学,42.35,50.39,57.03,62.38,62.78,65.17,67.35,76.35,74.2,82.29,87.42
南京大学,57.02,69.33,81.26,77.53,79.29,86.39,93.47,97.49,121.41,127.18,146.67
东南大学,51.2,59.94,44.7,74.72,104.39,113.92,119.03,145.49,160.7,162.85,167.91
浙江大学,154.28,150.47,154.65,191.77,216.2,228.16,261.03,309.01,328.61,352.31,382.46
厦门大学,55.79,71.84,76.81,81.93,72.83,86.81,107.1,113.17,117.24,128.59,96.79
山东大学,77.28,79.9,84.41,97.27,115.29,118.08,130.65,166.58,139.71,161.96,165.76
中国海洋大学,24.74,26.63,35.81,,45.39,45.13,55.08,53.86,61.56,38.0,62.98
武汉大学,78.23,87.49,93.48,106.44,98.59,106.44,118.93,151.36,141.2,145.51,93.22
华中科技大学,70.47,84.22,97.97,106.98,113.61,116.33,129.84,137.37,137.7,45.36,157.82
湖南大学,32.03,40.6,41.43,45.56,54.67,58.44,64.17,79.33,97.84,103.63,108.05
中南大学,50.12,67.74,73.02,84.5,81.84,87.7,96.0,120.0,108.39,,121.38
中山大学,73.96,116.41,134.92,175.17,186.93,198.55,193.05,197.14,178.39,216.22,213.85
华南理工大学,51.79,63.24,71.75,70.98,81.83,83.18,92.2,125.26,120.39,126.5,129.52
四川大学,63.25,76.25,85.28,94.48,98.55,101.76,110.12,124.01,120.29,124.98,129.25
电子科技大学,37.71,41.81,53.83,60.51,68.5,71.48,72.86,87.87,80.57,63.9,97.53
重庆大学,39.6,47.94,50.36,51.8,58.92,67.21,75.47,84.54,87.14,106.27,117.71
西安交通大学,56.37,70.44,80.39,88.17,101.16,114.68,133.72,146.29,160.98,107.25,185.56
西北农林科技大学,29.73,35.36,37.38,39.84,41.61,45.55,46.4,48.91,60.1,83.68,66.26
兰州大学,32.43,31.13,37.97,45.37,52.57,49.84,55.17,77.88,66.21,78.37,81.45
